Feature,Importance
MonthlyIncome,0.07589114233114558
Age,0.06409810702555303
TotalWorkingYears,0.05594244079429834
DailyRate,0.0523566262455857
OverTime,0.047882140784134296
EmployeeNumber,0.047402642492081266
YearsAtCompany,0.04696416726966715
MonthlyRate,0.04293196832741463
DistanceFromHome,0.04222760691264088
HourlyRate,0.04211307611919807
YearsWithCurrManager,0.039186672311594666
NumCompaniesWorked,0.037161554152281416
JobRole,0.03480015386747384
StockOptionLevel,0.03370841398424648
PercentSalaryHike,0.03257701469846501
JobSatisfaction,0.027355100900274425
YearsInCurrentRole,0.026549795015877443
EnvironmentSatisfaction,0.026238685828204718
JobLevel,0.023613640671617572
RelationshipSatisfaction,0.022536906015069687
YearsSinceLastPromotion,0.022469414379476756
WorkLifeBalance,0.021895645680474956
TrainingTimesLastYear,0.02159230208980818
MaritalStatus,0.02002303238678033
Education,0.019308373876173488
JobInvolvement,0.019015318749413743
EducationField,0.017009469455447724
BusinessTravel,0.01324308858504807
Department,0.012313184863284492
Gender,0.007794306133347045
PerformanceRating,0.0037980080539209687
